chunk_index,text,embedding_id,filename,file_type
0,"Title: Star G430S OSU Graphics Drawing Pad Tablet Brand: xp-pen Description: Specification Stylus Pen P01 Passive Pen Active area 4x 3 Pressure Sensitivity 8192 Levels Resolution 5080 LPI (Lines Per Inch) Report Rate 266 RPS Accuracy +0. 01 Inch Reading Height 10 mm Color Option Black Supply Voltage USB 5V Compatibility Windows 10/8/7 (32/64bit)and MAC OS X 10. 10 above Title: XP-PEN ARTIST DISPLAY – 12 PRO FOR WINDOWS & MAC-USB-12 inch-1080P-16. 7M IPS-PA2 BATTERY FREE STYLUS Brand: xp-pen Description: Specification Technology: Electromagnetic Dimension: 351. 52mm(L)*225. 38mm(W)*12. 9mm(H) Display Area: 256. 32mm(H) x 144. 18mm(V) Display Resolution: 19201080 pixels Color Gamut: 72% NTSC / 100% SRGB Shortcut Keys: 8 Roller wheel: 1 Response Time: 14ms Pixel Pitch: 0. 1335*0. 1335mm Color Displays: 16. 7M Contrast Ratio: 1000:1 Viewing Angle: 178 Pressure Levels: 8,192 Tilt: 60 Degrees Report Rate: 200RPS (max) Resolution: 5080 LPI Accuracy: 0. 01inch(center) Reading Height: 10mm Supply Voltage: DC 5V USB Interface: USB Current consumption: 2A Power Consumption: 10W Compatibility: Windows 7 (or later), Chrome OS 88 (or later), Linux (Detailed versions), Mac OS X 10. 10 (or later) (This Product now fully Supports macOS Monterey and Windows 11. ) Title: XP-PEN ARTIST DISPLAY – 13. 3 PRO FOR WINDOWS-MAC & ANDROID-USB-13. 3inch-1080P-16. 7M IPS-PA2 BATTERY FREE STYLUS Brand: xp-pen Description: Specification Technology Electromagnetic Dimension 390. 4mm(L)*249. 98mm(W)*12. 9mm(H) Display Area 293. 76mm(H) x 165. 24mm(V) Display Resolution 19201080 pixels Color Gamut 88% NTSC , Adobe RGB91%sRGB123% Shortcut Keys 8 Roller wheel 1 Response Time 14ms Pixel Pitch 0. 153 * 0. 153mm Color Displays 16. 7M Contrast Ratio 1000:1 Viewing Angle 178 Pressure Levels 8,192 Tilt 60Degrees Report Rate 220RPS (max) Resolution 5080 LPI Accuracy 0. 01inch(center) Reading Height 10mm Supply Voltage DC 5V USB Interface USB Current consumption 2A Power Consumption 10W Compatibility Windows 7 (or later), Chrome OS 88 (or later), Linux (Detailed versions) , Mac OS X 10. ",0,C:\Users\ASUS\AppData\Local\Temp\tmpbfnt9pid,pdf
1,"10 (or later) (This Product now fully Supports macOS Monterey and Windows 11. ) Title: XP-PEN ARTIST DISPLAY – 15. 6 PRO FOR WINDOWS-MAC & ANDROID-USB-15. 6inch-1080P-16. 7M IPS-PA2 BATTERY FREE STYLUS Brand: xp-pen Description: Specification Product Dimension 443 x 280 x 12. 6 mm Active Area 344. 16 x 193. 59 mm Thickness 11 mm(thinnest Shortcut Keys 8 Roller Wheel 1 Pen Battery-free Stylus Pen Pressure 8192 levels Tilt 60 Degrees Report Rate 200RPS (max) Display Resolution 1920 (H)*1080(V) pixels Display Color Gamut 88% NTSC, 120% sRGB Resolution 5080LPI Visual Angle 178 Input Device USB Supply Voltage DC 5V Reading Height 10mm Accuracy 0. 25mm(center) Color Black+Red Dial Title: XP-PEN ARTIST DISPLAY – 22 PRO FOR WINDOWS-MAC & ANDROID-USB Brand: xp-pen Description: Specification Product Name Artist 22 (2ndGeneration) Product Model CD220F Dimensions 538 x 332 x 25. 8mm Active Area 476. 064 x 267. 786mm Display Resolution 1920 x 1080 Color Gamut 86% NTSC, Adobe RGB90%, sRGB122% Mechanical Buttons 5 Stylus Battery-free Tilt 60 Pressure Sensitivity 8192 levels Contrast 800:1 Response Time 8ms Resolution 5080LPI Reading Height 10mm Report Rate 220RPS (max) Accuracy 0. 5mm (Center),1. 5mm (Corner) Interface Support 1 x USB-C, 1x HDMI, 1 x Power Jack, 1 x Headphone Jack Viewing Angle 178 Adjustable Stand 1690 Brightness 250 cd/m2 VESA Mount 100x100mm Power Supply Input AC 110240V Power Supply Output DC 12V 3A Power Consumption Power ON Mode (max) 20W Power Sleep Mode 3. 2W Power OFF Mode 1. 5W Compatibility Windows 7 (or later), Chrome OS 88 (or later), Linux (Detailed versions)and Mac OS X 10. 10 (or later) (This Product now fully Supports macOS Monterey and Windows 11. ) Certifications FCC/CE/EAC/NOM/PSE/WEEE/RCM/KC/RoHs/BIS Title: XP-PEN DECO – 01 V2 FOR WINDOWS-MAC & ANDROID-USB-10X6. 25-P05-B Brand: xp-pen Description: Specification Stylus Battery-free Tilt 60 Active Area 10 x 6. ",1,C:\Users\ASUS\AppData\Local\Temp\tmpbfnt9pid,pdf
2,"25 Resolution 5080 LPI (Lines Per Inch) Express Keys 8 Customizable Express Keys Report Rate 200RPS (max) Accuracy 0. 01 Inch Pressure Sensitivity 8192 Levels Reading Height 10 mm Interface Support USB Color Option Black, green, pink Compatibility Windows 7 (or later),Linux (Detailed versions), MAC OS X 10. 10 (or later), Android 6. 0 (or later), and Chrome OS 88 (or later).  (This Product now fully Supports macOS Monterey and Windows 11. ) Certifications FCC/CE/KC/RoHS/BIS/C-TICK/WEEE/EAC/NOM Title: XP-PEN DECO – 03 WIRELESS FOR WINDOWS & MAC -USB-10X6. 25-P05-B Brand: xp-pen Description: Specification Pen P05 Passive Pen Active area 10 X 5. 62 Express Keys 6 customizable Express Keys and A Dial Resolution 5080 LPI (Lines Per Inch) Report Rate 266 RPS Accuracy +0. 01 Inch Pressure Sensitivity 8192 Levels Reading Height 10 mm Interface Support USB Color Option Black Compatibility Windows 7/8/10, Mac OS X 10. 10 above Certifications VOC/PVPC/C-TICK/FCC/CE/EAC/NOM/WEEE/KC/RoHs/BIS/TELEC Title: XP-PEN DECO 02 – FOR WINDOWS & MAC -USB-10inch X 5. 63inch-P06 BATTERY FREE STYLUS Brand: xp-pen Description: Specification Pen P06 Passive Pen Active area 10 X 5. 63 Shortcut Keys 6 customizable Express Keys Resolution 5080 LPI (Lines Per Inch) Report Rate Max.  266 RPS Roller whell 1 Accuracy +0. 01 Inch Pressure Sensitivity 8192 Levels Reading Height 10 mm Interface Support USB Color Option Black Compatibility Windows 7/8/10(32/64bit)and Mac OS X 10. 10 and above Certifications C-TICK/FCC/CE/EAC/NOM/WEEE/KC/RoHs/BIS Compatibility of the styluss eraser Adobe Photoshop CS4/5/6, Adobe Photoshop CC 2014/2015/2015. 5/2017/2018, Adobe Fireworks CS4 10. 0, Adobe Illustrator CC 2018, MediBang Paint Pro 13. 0.  Manga Studio 5. 0 (64 Bit) 5. 0. 3, Word 2016, Excel 2016, PowerPoint 2016, OneNote 2016, Windows ink. Windows paint 3D ,etc.  Title: XP-PEN DECO FUN L-BLUE FOR WINDOWS – MAC & ANDROID 10×6. 27 INCH WITH P01 STYLUS Brand: xp-pen Description: Specification Product Name Deco Fun L Product Model CT1060 Color Classic Black, Space Blue, Apple Green, Carmine Red Item Size (Inch) 12. ",2,C:\Users\ASUS\AppData\Local\Temp\tmpbfnt9pid,pdf
3,"40 x 8. 77 x 0. 49 Item WeightLB 1. 85 Work Area (Inch) 10 x 6. 27 Pen Pressure 8192 Roller Wheel/Dial No Pen Model P01 Passive Stylus Pen Technology Battery-free electromagnetic resonance Wireless Support No Tilt 60 Resolution 5080LPI Power Input DC 5V/1A Report Rate 220RPS Compatibility Windows 7/8/10 Mac OS X 10. 10 (or later) Android 6. 0 (or later), Chrome OS 88 (or later) Linux Reading Height 10mm Interface USB-C Title: XP-PEN DECO FUN L-RED FOR WINDOWS – MAC & ANDROID 10×6. 27 INCH WITH P01 STYLUS Brand: xp-pen Description: Specification Product Name Deco Fun L Product Model CT1060 Color Classic Black, Space Blue, Apple Green, Carmine Red Item Size (Inch) 12. 40 x 8. 77 x 0. 49 Item WeightLB 1. 85 Work Area (Inch) 10 x 6. 27 Pen Pressure 8192 Roller Wheel/Dial No Pen Model P01 Passive Stylus Pen Technology Battery-free electromagnetic resonance Wireless Support No Tilt 60 Resolution 5080LPI Power Input DC 5V/1A Report Rate 220RPS Compatibility Windows 7/8/10 Mac OS X 10. 10 (or later) Android 6. 0 (or later), Chrome OS 88 (or later) Linux Reading Height 10mm Interface USB-C Title: XP-PEN DECO FUN LW BLUE -BT WIRELESS FOR WINDOWS – MAC & ANDROID 10×6 INCH WITH X3 ELITE STYLUS Brand: xp-pen Description: Specification Product Name Deco LW Pen Tablet Product Model IT1060B Dimensions 315 x 187 x 8. 8 mm Work Area 10x 6 Color Options Black, blue, green, and pink Shortcut Keys 8 Resolution 5080 LPI Report Rate 220RPS (max) Wireless Technology Bluetooth v5. 0 Continuous Operation Time 10 hours Battery Capacity 1000mAh/3. 7V Stylus X3 Elite Pressure Levels 8192 Tilt 60 Reading Height 10 mm Ports Included USB-C Power Input 5V 1A Compatibility Windows 7 (or later), Mac OS X 10. 10 (or later) Android 6. 0 (or later), Chrome OS 88 (or later) Linux Certifications CE/RoHS/WEEE/FCC KC/PSE/BIS/UKCA/EAC/NOM/TELEC Title: XP-PEN DECO FUN LW BLUE -BT WIRELESS FOR WINDOWS – MAC & ANDROID 10×6 INCH WITH X3 ELITE STYLUS Brand: xp-pen Description: Specification Product Name Deco LW Pen Tablet Product Model IT1060B Dimensions 315 x 187 x 8. ",3,C:\Users\ASUS\AppData\Local\Temp\tmpbfnt9pid,pdf
4,"8 mm Work Area 10x 6 Color Options Black, blue, green, and pink Shortcut Keys 8 Resolution 5080 LPI Report Rate 220RPS (max) Wireless Technology Bluetooth v5. 0 Continuous Operation Time 10 hours Battery Capacity 1000mAh/3. 7V Stylus X3 Elite Pressure Levels 8192 Tilt 60 Reading Height 10 mm Ports Included USB-C Power Input 5V 1A Compatibility Windows 7 (or later), Mac OS X 10. 10 (or later) Android 6. 0 (or later), Chrome OS 88 (or later) Linux Certifications CE/RoHS/WEEE/FCC KC/PSE/BIS/UKCA/EAC/NOM/TELEC Title: XP-PEN DECO MINI 7 FOR WINDOWS – MAC & ANDROID 7×4. 3 INCH P05D Brand: xp-pen Description: Specification Dimensions 260. 2 x 162. 2 x 9. 3mm Active Area 7 x 4. 37 inches (177. 8 x 111. 1mm) Net Weight 307g Pen Battery-free stylus Tilt 60 degrees Pressure Sensitivity 8192 levels Shortcut Keys 8 Resolution 5080LPI Report Rate 220RPS (max) Reading Height 10mm Supply Voltage DC 5V USB Interface USB-C Compatibility Windows 7 (or later), Mac OS X 10. 10 (or later), Linux (Detailed versions), Android 6. 0 (or later), and Chrome OS 88 (or later).  (This Product now fully Supports macOS Monterey and Windows 11. ) Certifications C-TICK/FCC/CE/EAC/NOM/PSE/WEEE/KC/RoHs/BIS Title: XP-PEN DECO PRO M – MEDIUM FOR WINDOWS-MAC & ANDROID-USB-C-11X6-P1A BATTERY FREE STYLUS Brand: xp-pen Description: Specification Tilt 60 Degrees Pen Battery-Free Stylus Pressure Sensitivity 8,192 Levels Resolution 5080 LPI Report Rate 200 Mechanic Wheel 1 Virtual Wheel 1 Shortcut Keys 8 Indicator Light 1 Accuracy 0. 01 Inch Reading Height 10mm Color Black and Silver Power Voltage DC 5V Interface Support USB-C Compatibility Windows 10/8/7(32/64bit),Linux (Detailed versions), MAC OS X 10. 10 and above, Android 6. 0 and above Certifications CE/RoHS/WEEE/PSE/TELEC//KC/BIS/NOM/EAC/UKCA Title: XP-PEN INNOVATOR ID160F – WINDOWS & MAC-USB-16inch-1080P-16. 7M IPS-PA2 BATTERY FREE STYLUS Brand: xp-pen Description: Specification Model Number ID160F Dimensions 443. 27 x 256. ",4,C:\Users\ASUS\AppData\Local\Temp\tmpbfnt9pid,pdf
5,"45 x 9mm Display Area 344. 16 x 193. 59mm Color Gamut 92% Adobe RGB, 88% NTSC, 125% sRGB Display Resolution 1920 x 1080 Mechanic Wheel 1 Virtual Wheel 1 Shortcut Keys 8 Stylus Battery-free Tilt 60 Pressure Sensitivity 8192 levels Color Depth 16. 7M Contrast 1200:1 Resolution 5080LPI Report Rate 220RPS (max) Accuracy 0. 01 inch (center) Reading Height 10 mm Interface Support USB Response Time 16. 4ms Viewing Angle 178 Aspect Ratio 16:9 Brightness 250cd/m2 Power Supply Input AC 110-240V Power Supply Output DC 5V/2. 3A Power ON Mode 8W (max) Power Sleep Mode 1. 8W Power OFF Mode 1W Compatibility Windows 7 (or later), Chrome OS 88 (or later),Linux (Detailed versions), Mac OS X 10. 10 (or later) (This Product now fully Supports macOS Monterey and Windows 11. ) Certifications FCC/CE/EAC/NOM/PSE/WEEE/RCM/KC/RoHs Title: XP-PEN STAR – G640 FOR WINDOWS AND MAC-USB-6X4-PN01-B OR P02 Brand: xp-pen Description: Specification Active area 6 x 4 Resolution 5080 LPI (Lines Per Inch) Report Rate 266 RPS Accuracy +0. 01 Inch Pressure Sensitivity 8192 Levels Interface Support USB Reading Height 10 mm Color Option Black Compatibility Windows 7/8/10, Mac OS X 10. 10 above Title: XP-PEN STAR – G640S FOR WINDOWS-MAC AND ANDROID-USB-6. 5X4-P06 Brand: xp-pen Description: Specification Pen P05 Passive Pen Active area 6. 5 x 4 Resolution 5080 LPI Report Rate 266 RPS Accuracy +0. 01 Inch Pressure Sensitivity 8192 Levels Interface Support USB Reading Height 5-10 mm Color Option Black Compatibility 7/8/10, Mac OS X 10. 10 and above, Android 6. 0 and above, and Chrome OS 88. 0. 4324. 109 Title: XP-PEN STAR – G960S FOR WINDOWS-MAC & ANDROID-USB-9X6-PH3 BATTERY FREE STYLUS Brand: xp-pen Description: Specification Model Star G960S Plus Dimensions 319. 5209. 5x10mm Active area 96 inch (228. 8152. 6mm) Pen PH2 Battery-free Stylus (featuring digital eraser) Pressure Sensitivity 8,192 Levels Tilt 60 Degrees Shortcut keys 4 Report Rate 220RPS (max) Accuracy 0. ",5,C:\Users\ASUS\AppData\Local\Temp\tmpbfnt9pid,pdf
6,"4mmCenter Reading Height 10mm Input USB Compatibility Windows 7 (or later),Mac OS X 10. 10 (or later), Android 6. 0 (or later), and Chrome OS 88 (or later).  (This Product now fully Supports macOS Monterey and Windows 11. ) Title: XP-PEN STAR 06 WIRELESS – FOR WINDOWS & MAC -USB-MICRO-10inch X 6inch-P01A BATTERY FREE STYLUS Brand: xp-pen Description: Specification Technology Electromagnetic Digitizer / ISM 2. 4G and spread spectrum frequency hopping (FHSS) technology.  Pen P01 Passive Pen Pressure Sensitivity 8192 Levels Active area 10 x 6 Resolution 5080 LPI (Lines Per Inch) Report Rate 250 RPS Accuracy +0. 01 Inch Reading Height 10 mm Net Weight 670g Color Option Black Power Voltage USB cable mode DC 5V, Wireless Mode 3. 7 V Power Consumption <0. 5 W Interface Support USB Working distance <10 m Compatibility Windows 10/8/7 and MAC OS X 10. 10 above Title: Star G430S OSU Graphics Drawing Pad Tablet Brand: xp-pen Description: Specification Stylus Pen P01 Passive Pen Active area 4x 3 Pressure Sensitivity 8192 Levels Resolution 5080 LPI (Lines Per Inch) Report Rate 266 RPS Accuracy +0. 01 Inch Reading Height 10 mm Color Option Black Supply Voltage USB 5V Compatibility Windows 10/8/7 (32/64bit)and MAC OS X 10. 10 above Title: XP-PEN ARTIST DISPLAY – 12 PRO FOR WINDOWS & MAC-USB-12 inch-1080P-16. 7M IPS-PA2 BATTERY FREE STYLUS Brand: xp-pen Description: Specification Technology: Electromagnetic Dimension: 351. 52mm(L)*225. 38mm(W)*12. 9mm(H) Display Area: 256. 32mm(H) x 144. 18mm(V) Display Resolution: 19201080 pixels Color Gamut: 72% NTSC / 100% SRGB Shortcut Keys: 8 Roller wheel: 1 Response Time: 14ms Pixel Pitch: 0. 1335*0. 1335mm Color Displays: 16. 7M Contrast Ratio: 1000:1 Viewing Angle: 178 Pressure Levels: 8,192 Tilt: 60 Degrees Report Rate: 200RPS (max) Resolution: 5080 LPI Accuracy: 0. 01inch(center) Reading Height: 10mm Supply Voltage: DC 5V USB Interface: USB Current consumption: 2A Power Consumption: 10W Compatibility: Windows 7 (or later), Chrome OS 88 (or later), Linux (Detailed versions), Mac OS X 10. ",6,C:\Users\ASUS\AppData\Local\Temp\tmpbfnt9pid,pdf
7,"10 (or later) (This Product now fully Supports macOS Monterey and Windows 11. ) Title: XP-PEN ARTIST DISPLAY – 13. 3 PRO FOR WINDOWS-MAC & ANDROID-USB-13. 3inch-1080P-16. 7M IPS-PA2 BATTERY FREE STYLUS Brand: xp-pen Description: Specification Technology Electromagnetic Dimension 390. 4mm(L)*249. 98mm(W)*12. 9mm(H) Display Area 293. 76mm(H) x 165. 24mm(V) Display Resolution 19201080 pixels Color Gamut 88% NTSC , Adobe RGB91%sRGB123% Shortcut Keys 8 Roller wheel 1 Response Time 14ms Pixel Pitch 0. 153 * 0. 153mm Color Displays 16. 7M Contrast Ratio 1000:1 Viewing Angle 178 Pressure Levels 8,192 Tilt 60Degrees Report Rate 220RPS (max) Resolution 5080 LPI Accuracy 0. 01inch(center) Reading Height 10mm Supply Voltage DC 5V USB Interface USB Current consumption 2A Power Consumption 10W Compatibility Windows 7 (or later), Chrome OS 88 (or later), Linux (Detailed versions) , Mac OS X 10. 10 (or later) (This Product now fully Supports macOS Monterey and Windows 11. ) Title: XP-PEN ARTIST DISPLAY – 15. 6 PRO FOR WINDOWS-MAC & ANDROID-USB-15. 6inch-1080P-16. 7M IPS-PA2 BATTERY FREE STYLUS Brand: xp-pen Description: Specification Product Dimension 443 x 280 x 12. 6 mm Active Area 344. 16 x 193. 59 mm Thickness 11 mm(thinnest Shortcut Keys 8 Roller Wheel 1 Pen Battery-free Stylus Pen Pressure 8192 levels Tilt 60 Degrees Report Rate 200RPS (max) Display Resolution 1920 (H)*1080(V) pixels Display Color Gamut 88% NTSC, 120% sRGB Resolution 5080LPI Visual Angle 178 Input Device USB Supply Voltage DC 5V Reading Height 10mm Accuracy 0. 25mm(center) Color Black+Red Dial Title: XP-PEN ARTIST DISPLAY – 22 PRO FOR WINDOWS-MAC & ANDROID-USB Brand: xp-pen Description: Specification Product Name Artist 22 (2ndGeneration) Product Model CD220F Dimensions 538 x 332 x 25. 8mm Active Area 476. 064 x 267. 786mm Display Resolution 1920 x 1080 Color Gamut 86% NTSC, Adobe RGB90%, sRGB122% Mechanical Buttons 5 Stylus Battery-free Tilt 60 Pressure Sensitivity 8192 levels Contrast 800:1 Response Time 8ms Resolution 5080LPI Reading Height 10mm Report Rate 220RPS (max) Accuracy 0. ",7,C:\Users\ASUS\AppData\Local\Temp\tmpbfnt9pid,pdf
8,"5mm (Center),1. 5mm (Corner) Interface Support 1 x USB-C, 1x HDMI, 1 x Power Jack, 1 x Headphone Jack Viewing Angle 178 Adjustable Stand 1690 Brightness 250 cd/m2 VESA Mount 100x100mm Power Supply Input AC 110240V Power Supply Output DC 12V 3A Power Consumption Power ON Mode (max) 20W Power Sleep Mode 3. 2W Power OFF Mode 1. 5W Compatibility Windows 7 (or later), Chrome OS 88 (or later), Linux (Detailed versions)and Mac OS X 10. 10 (or later) (This Product now fully Supports macOS Monterey and Windows 11. ) Certifications FCC/CE/EAC/NOM/PSE/WEEE/RCM/KC/RoHs/BIS Title: XP-PEN DECO – 01 V2 FOR WINDOWS-MAC & ANDROID-USB-10X6. 25-P05-B Brand: xp-pen Description: Specification Stylus Battery-free Tilt 60 Active Area 10 x 6. 25 Resolution 5080 LPI (Lines Per Inch) Express Keys 8 Customizable Express Keys Report Rate 200RPS (max) Accuracy 0. 01 Inch Pressure Sensitivity 8192 Levels Reading Height 10 mm Interface Support USB Color Option Black, green, pink Compatibility Windows 7 (or later),Linux (Detailed versions), MAC OS X 10. 10 (or later), Android 6. 0 (or later), and Chrome OS 88 (or later).  (This Product now fully Supports macOS Monterey and Windows 11. ) Certifications FCC/CE/KC/RoHS/BIS/C-TICK/WEEE/EAC/NOM Title: XP-PEN DECO – 03 WIRELESS FOR WINDOWS & MAC -USB-10X6. 25-P05-B Brand: xp-pen Description: Specification Pen P05 Passive Pen Active area 10 X 5. 62 Express Keys 6 customizable Express Keys and A Dial Resolution 5080 LPI (Lines Per Inch) Report Rate 266 RPS Accuracy +0. 01 Inch Pressure Sensitivity 8192 Levels Reading Height 10 mm Interface Support USB Color Option Black Compatibility Windows 7/8/10, Mac OS X 10. 10 above Certifications VOC/PVPC/C-TICK/FCC/CE/EAC/NOM/WEEE/KC/RoHs/BIS/TELEC Title: XP-PEN DECO 02 – FOR WINDOWS & MAC -USB-10inch X 5. 63inch-P06 BATTERY FREE STYLUS Brand: xp-pen Description: Specification Pen P06 Passive Pen Active area 10 X 5. 63 Shortcut Keys 6 customizable Express Keys Resolution 5080 LPI (Lines Per Inch) Report Rate Max. ",8,C:\Users\ASUS\AppData\Local\Temp\tmpbfnt9pid,pdf
9," 266 RPS Roller whell 1 Accuracy +0. 01 Inch Pressure Sensitivity 8192 Levels Reading Height 10 mm Interface Support USB Color Option Black Compatibility Windows 7/8/10(32/64bit)and Mac OS X 10. 10 and above Certifications C-TICK/FCC/CE/EAC/NOM/WEEE/KC/RoHs/BIS Compatibility of the styluss eraser Adobe Photoshop CS4/5/6, Adobe Photoshop CC 2014/2015/2015. 5/2017/2018, Adobe Fireworks CS4 10. 0, Adobe Illustrator CC 2018, MediBang Paint Pro 13. 0.  Manga Studio 5. 0 (64 Bit) 5. 0. 3, Word 2016, Excel 2016, PowerPoint 2016, OneNote 2016, Windows ink. Windows paint 3D ,etc.  Title: XP-PEN DECO FUN L-BLUE FOR WINDOWS – MAC & ANDROID 10×6. 27 INCH WITH P01 STYLUS Brand: xp-pen Description: Specification Product Name Deco Fun L Product Model CT1060 Color Classic Black, Space Blue, Apple Green, Carmine Red Item Size (Inch) 12. 40 x 8. 77 x 0. 49 Item WeightLB 1. 85 Work Area (Inch) 10 x 6. 27 Pen Pressure 8192 Roller Wheel/Dial No Pen Model P01 Passive Stylus Pen Technology Battery-free electromagnetic resonance Wireless Support No Tilt 60 Resolution 5080LPI Power Input DC 5V/1A Report Rate 220RPS Compatibility Windows 7/8/10 Mac OS X 10. 10 (or later) Android 6. 0 (or later), Chrome OS 88 (or later) Linux Reading Height 10mm Interface USB-C Title: XP-PEN DECO FUN L-RED FOR WINDOWS – MAC & ANDROID 10×6. 27 INCH WITH P01 STYLUS Brand: xp-pen Description: Specification Product Name Deco Fun L Product Model CT1060 Color Classic Black, Space Blue, Apple Green, Carmine Red Item Size (Inch) 12. 40 x 8. 77 x 0. 49 Item WeightLB 1. 85 Work Area (Inch) 10 x 6. 27 Pen Pressure 8192 Roller Wheel/Dial No Pen Model P01 Passive Stylus Pen Technology Battery-free electromagnetic resonance Wireless Support No Tilt 60 Resolution 5080LPI Power Input DC 5V/1A Report Rate 220RPS Compatibility Windows 7/8/10 Mac OS X 10. 10 (or later) Android 6. ",9,C:\Users\ASUS\AppData\Local\Temp\tmpbfnt9pid,pdf
